token,stop_layer,type
逐年,always,
逐日,always,
逕,always,
逕行,always,
這,always,
這些,always,
這樣,always,
這裏,always,
通,always,
通咨,always,
通曉,always,
通用,always,
通盤,always,
通諭,always,
通飭,always,
速,always,
速議,always,
逢,always,
連,always,
連年,always,
進,always,
進於,always,
進爲,always,
進而,always,
逹,always,
逾,always,
逾於,always,
逾越,always,
逾限,always,
遂,always,
遇,always,
遇有,always,
遊,always,
遊歷,always,
遍,always,
過,always,
過多,always,
過於,always,
遑,always,
遑論,always,
達,always,
達於,always,
達至,always,
遞,always,
遞呈,always,
遞封,always,
適,always,
適逢,always,
遭,always,
遲早,always,
遵,always,
遵旨,always,
遵限,always,
遷至,always,
遷都,always,
遽,always,
遽然,always,
遽爾,always,
遽行,always,
還,always,
還是,always,
還要,always,
邇,always,
邇來,always,
邊,always,
那,always,
那些,always,
那末,always,
那裏,always,
那麼,always,
郞,always,
郤,always,
部,always,
部份,always,
部分,always,
都,always,
酌,always,
酌予,always,
醉心,always,
重,always,
重加,always,
重在,always,
重提,always,
重於,always,
重行,always,
鈞座,always,
鑄成,always,
鑑於,always,
鑒,always,
鑒於,always,
長,always,
開宗明義,always,
開成,always,
間,always,
間有,always,
閙,always,
閣,always,
闗,always,
關,always,
關乎,always,
關于,always,
關於,always,
附屬,always,
附有,always,
附註,always,
降旨,always,
限,always,
限於,always,
限期,always,
除,always,
除了,always,
除非,always,
陳說,always,
陷於,always,
隔,always,
隨,always,
隨之,always,
隨即,always,
隨同,always,
隨地,always,
隨時,always,
隸,always,
雖,always,
雖然,always,
離,always,
難,always,
難以,always,
難於,always,
難道,always,
電,always,
電詢,always,
需,always,
需欵,always,
靑,always,
靜候,always,
靜待,always,
非,always,
非但,always,
非得,always,
非難,always,
靠,always,
面,always,
頃,always,
順,always,
順從,always,
須,always,
須得,always,
須知,always,
須要,always,
預,always,
預爲,always,
預聞,always,
頒,always,
頓,always,
頗,always,
頗多,always,
頗為,always,
頗覺,always,
頻,always,
頻年,always,
願,always,
顚,always,
類推,always,
顧,always,
顧到,always,
顧及,always,
顧念,always,
顯,always,
顯然,always,
飭,always,
餘,always,
首,always,
首倡,always,
首次,always,
馬上,always,
馳往,always,
馳赴,always,
駕,always,
騐,always,
驟,always,
驟然,always,
體,always,
高呼,always,
高於,always,
鬭,always,
鮮有,always,
鳴呼,always,
麽,always,
默察,always,
裏,always,
﹁,always,
﹂,always,
！,always,
（,always,
（一）,always,
（七）,always,
（三）,always,
（九）,always,
（二,always,
（二十三）,always,
（二十五）,always,
（二十四）,always,
（二十）,always,
（二）,always,
（五）,always,
（八）,always,
（六）,always,
（十一）,always,
（十三）,always,
（十二）,always,
（十五）,always,
（十八）,always,
（十）,always,
（四）,always,
）,always,
，,always,
－,always,
．,always,
：,always,
；,always,
？,always,
［,always,
］,always,
｀,always,
｛,always,
任何,always,
分別,always,
分别,always,
可否,always,
大力,always,
大多數,always,
大概,always,
大致,always,
大部,always,
大部份,always,
大部分,always,
完全,always,
少數,always,
常年,always,
必須,always,
恐怕,always,
應否,always,
應該,always,
所有,always,
按照,always,
是否,always,
最好,always,
未免,always,
未必,always,
未知,always,
根據,always,
極力,always,
欽此,always,
無不,always,
無可,always,
無庸,always,
無意,always,
無故,always,
無數,always,
無論,always,
無論如何,always,
無非,always,
現已,always,
甚至,always,
當即,always,
當場,always,
當然,always,
相當,always,
相繼,always,
稍稍,always,
終日,always,
能否,always,
自應,always,
至少,always,
許多,always,
足以,always,
近來,always,
通力,always,
通常,always,
連同,always,
北京電,always,
一鐘,always,
册,always,
編,always,
段,always,
項,always,
案,always,
條,always,
屆,always,
章,always,
點,always,
摺,always,
字,always,
件,always,
例,always,
印,always,
乙,always,
詞,always,
類,always,
完,always,
位,always,
附,always,
週,always,
者,always,
年,always,
月,always,
日,always,
今日,always,
今,always,
現在,always,
將來,always,
上午,always,
下午,always,
昨,always,
茲,always,
中,always,
事,always,
種,always,
個,always,
數,always,
第一,always,
第二,always,
